ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
2136,Total - Population aged 15 years and over by Labour force status - 25% sample data,13055,54905,17790,30125,25910,29410,41795,12065,24675,38450,21390,29225,11455,44995,18960,6735,6510,8810,30685,26440,44755,11050,547845,2064610
2137,  In the labour force,6775,40010,10225,22685,19120,18870,28920,6395,15405,28850,13415,23880,5735,29125,13200,3940,4415,4535,20150,16125,33530,6480,370955,1355520
2138,    Employed,6320,37770,9590,21635,18115,17765,27225,5910,14575,27350,12450,22760,5405,27425,12555,3755,4120,4150,19110,15080,31765,6065,350140,1276900
2139,    Unemployed,450,2240,635,1050,1005,1110,1700,480,830,1500,965,1125,325,1695,645,185,295,385,1040,1045,1770,415,20815,78620
2140,  Not in the labour force,6280,14895,7565,7440,6790,10535,12875,5675,9275,9600,7970,5345,5720,15875,5765,2790,2095,4275,10535,10315,11225,4570,176890,709090
,,,,,,,,,,,,,,,,,,,,,,,,,
2141,Participation rate,51.9,72.9,57.5,75.3,73.8,64.2,69.2,53,62.4,75,62.7,81.7,50.1,64.7,69.6,58.5,67.8,51.5,65.7,61,74.9,58.6,67.7,65.7
,,,,,,,,,,,,,,,,,,,,,,,,,
2142,Employment rate,48.4,68.8,53.9,71.8,69.9,60.4,65.1,49,59.1,71.1,58.2,77.9,47.2,61,66.2,55.8,63.3,47.1,62.3,57,71,54.9,63.9,61.8
,,,,,,,,,,,,,,,,,,,,,,,,,
2143,Unemployment rate,6.6,5.6,6.2,4.6,5.3,5.9,5.9,7.5,5.4,5.2,7.2,4.7,5.7,5.8,4.9,4.7,6.7,8.5,5.2,6.5,5.3,6.4,5.6,5.8
2144,  Total - Males aged 15 years and over by Labour force status - 25% sample data,5790,28825,8515,13525,12545,14265,20260,5495,11495,17700,10250,14205,5190,21720,8925,3215,2980,4690,14850,12625,23525,5175,265110,998835
2145,    In the labour force,3445,21895,5295,10710,9550,9640,14630,3350,7705,13740,6995,11770,2900,15030,6450,2090,2165,2390,10500,8375,18315,3305,189850,703360
2146,      Employed,3230,20730,4955,10230,9000,9010,13780,3085,7255,13080,6470,11150,2765,14140,6140,1990,2040,2195,9985,7815,17370,3100,179145,663785
2147,      Unemployed,220,1165,345,480,545,630,855,265,450,665,525,615,135,890,310,100,125,195,505,560,945,205,10705,39570
2148,    Not in the labour force,2345,6930,3215,2810,2995,4635,5630,2150,3790,3960,3260,2435,2290,6690,2475,1125,810,2290,4355,4245,5210,1875,75265,295470
2149,  Participation rate,59.5,76,62.2,79.2,76.1,67.6,72.2,61,67,77.6,68.2,82.9,55.9,69.2,72.3,65,72.7,51,70.7,66.3,77.9,63.9,71.6,70.4
2150,  Employment rate,55.8,71.9,58.2,75.6,71.7,63.2,68,56.1,63.1,73.9,63.1,78.5,53.3,65.1,68.8,61.9,68.5,46.8,67.2,61.9,73.8,59.9,67.6,66.5
