Type of Crosswalk;X;Y;Lat;Long;geopoint
unmarked;496451.0;5453475.0;49.2340438816;-123.048750535;49.2340438816,-123.048750535
unmarked;490127.0;5461612.0;49.3071682397;-123.135820232;49.3071682397,-123.135820232
Special Crossing;494647.0;5456930.0;49.2651092455;-123.073577179;49.2651092455,-123.073577179
Special Crossing;488176.0;5456500.0;49.2611504484;-123.162508332;49.2611504484,-123.162508332
Special Crossing;486100.0;5453572.0;49.2347689118;-123.190939003;49.2347689118,-123.190939003
Special Crossing;486745.0;5453057.0;49.2301506848;-123.182061907;49.2301506848,-123.182061907
Special Crossing;488910.0;5452716.0;49.2271263516;-123.152315592;49.2271263516,-123.152315592
Special Crossing;494647.0;5456919.0;49.2650102984;-123.073577031;49.2650102984,-123.073577031
Parallel Lines;485692.0;5453573.0;49.2347685076;-123.196543545;49.2347685076,-123.196543545
Parallel Lines;487605.0;5456117.0;49.2576939934;-123.170344228;49.2576939934,-123.170344228
Parallel Lines;487464.0;5456121.0;49.2577271009;-123.172282105;49.2577271009,-123.172282105
Parallel Lines;486511.0;5453901.0;49.237737526;-123.185304355;49.237737526,-123.185304355
Parallel Lines;491079.0;5450259.0;49.2050604425;-123.122470927;49.2050604425,-123.122470927
Parallel Lines;492354.0;5454954.0;49.247310361;-123.105056768;49.247310361,-123.105056768
Parallel Lines;489885.0;5455471.0;49.2519250493;-123.138994026;49.2519250493,-123.138994026
Parallel Lines;490927.0;5455272.0;49.250151343;-123.124671042;49.250151343,-123.124671042
Parallel Lines;495127.0;5453084.0;49.2305176337;-123.066932784;49.2305176337,-123.066932784
Parallel Lines;492597.0;5452442.0;49.2247173243;-123.101671542;49.2247173243,-123.101671542
Parallel Lines;494058.0;5451711.0;49.2181577065;-123.081595614;49.2181577065,-123.081595614
Parallel Lines;497253.0;5451607.0;49.2172448575;-123.03772114;49.2172448575,-123.03772114
Parallel Lines;496568.0;5454641.0;49.244532997;-123.047153359;49.244532997,-123.047153359
Parallel Lines;498130.0;5458297.0;49.2774262394;-123.025709617;49.2774262394,-123.025709617
Parallel Lines;493694.0;5458817.0;49.282074062;-123.086705929;49.282074062,-123.086705929
Parallel Lines;490571.0;5459890.0;49.2916856522;-123.129671613;49.2916856522,-123.129671613
Parallel Lines;489392.0;5459754.0;49.2904429823;-123.14588206;49.2904429823,-123.14588206
Parallel Lines;489509.0;5459647.0;49.289482523;-123.144270264;49.289482523,-123.144270264
Parallel Lines;489644.0;5459442.0;49.2876408229;-123.142408464;49.2876408229,-123.142408464
Parallel Lines;490069.0;5458555.0;49.2796691823;-123.136542147;49.2796691823,-123.136542147
Parallel Lines;491449.0;5457182.0;49.2673396779;-123.117539109;49.2673396779,-123.117539109
Parallel Lines;491448.0;5456621.0;49.2622933663;-123.117540868;49.2622933663,-123.117540868
Parallel Lines;490612.0;5457076.0;49.2663739125;-123.129041708;49.2663739125,-123.129041708
Parallel Lines;489041.0;5456478.0;49.2609686644;-123.150619268;49.2609686644,-123.150619268
Parallel Lines;487746.0;5456925.0;49.2649649302;-123.168431211;49.2649649302,-123.168431211
Parallel Lines;486928.0;5457323.0;49.2685280644;-123.179687563;49.2685280644,-123.179687563
