FID,Seniors_Ce,POINT_X,POINT_Y,POINT_Z,POINT_M,lat,lng
1,Oakridge Seniors Centre,491347.106046,5453260.66426,0,0,49.23206499887618,-123.11885499999951
5,Japanese Community Volunt,492290.647263,5456759.56891,0,0,49.263550998917964,-123.10596199999195
8,SUCCESS,492333.28627,5458641.07354,0,0,49.28047599890094,-123.10541200000296
10,Vancouver Second Mile Soc,493229.588072,5458730.27868,0,0,49.281288998852155,-123.09308999999881
13,South Granville Seniors F,490064.402616,5456446.52503,0,0,49.26070299891896,-123.13655300000252
15,Vancouver Second Mile Soc,493229.588072,5458730.27868,0,0,49.281288998852155,-123.09308999999881
18,Jewish Seniors' Alliance,490713.785697,5452691.39371,0,0,49.226934998857104,-123.12754099999765
19,South Vancouver Neighbour,495243.139358,5452530.87215,0,0,49.22554299888081,-123.06533099999895
0,Brock House,486110.827856,5457687.74917,0,0,49.271790998913225,-123.19093300000226
2,Kerrisdale Seniors Centre,488563.558676,5453390.25144,0,0,49.23318499891104,-123.15709300000074
12,Vancouver Second Mile Soc,493229.588072,5458730.27868,0,0,49.281288998852155,-123.09308999999881
17,Kitsilano Neighbourhood H,488479.541749,5457004.13504,0,0,49.26569099886464,-123.15835099999508
3,Kilarney Seniors Centre,496767.937909,5452737.3203,0,0,49.22740999885294,-123.04439099999948
4,411 Seniors Centre Societ,493038.009683,5457747.32366,0,0,49.27244499886431,-123.09570699999453
6,Renfrew-Collingwood Senio,496927.371581,5455314.03642,0,0,49.25058899890634,-123.04222099999303
7,South Granville Seniors F,490064.402616,5456446.52503,0,0,49.26070299891896,-123.13655300000252
9,Vancouver Second Mile Soc,493229.588072,5458730.27868,0,0,49.281288998852155,-123.09308999999881
11,Jewish Family Services Ag,489083.32036,5456821.80656,0,0,49.264061998872265,-123.15004699999696
14,West End Seniors Network,490324.323999,5459394.42409,0,0,49.287223998940306,-123.13305199999283
16,BC Seniors Services and H,506446.595304,5449985.14056,0,0,49.20262799887856,-122.91150300000555
