"","gender","year","area","incsd","incd","inprov","outprov","commutepop"
"1","total",2016,"AR",0.677130044843049,0.31390134529148,0.00448430493273543,0.00448430493273543,4460
"5","male",2016,"AR",0.64367816091954,0.347126436781609,0.00459770114942529,0.00459770114942529,2175
"9","female",2016,"AR",0.708333333333333,0.282894736842105,0.0043859649122807,0.0043859649122807,2280
"13","total",2016,"CBD",0.752353732347007,0.235709482178884,0.00622057834566241,0.00571620712844654,29740
"17","male",2016,"CBD",0.737240075614367,0.250157529930687,0.00630119722747322,0.00630119722747322,15870
"21","female",2016,"CBD",0.769452449567723,0.219020172910663,0.00612391930835735,0.00540345821325648,13880
"25","total",2016,"DS",0.637554585152838,0.344978165938865,0.0116448326055313,0.00582241630276565,6870
"29","male",2016,"DS",0.612005856515373,0.367496339677892,0.0146412884333821,0.00585651537335286,3415
"33","female",2016,"DS",0.662807525325615,0.322720694645441,0.00868306801736614,0.00578871201157742,3455
"37","total",2016,"FAIR",0.720253529242293,0.269374819936618,0.00720253529242293,0.00316911552866609,17355
"41","male",2016,"FAIR",0.661829652996845,0.323028391167192,0.0100946372239748,0.00504731861198738,7925
"45","female",2016,"FAIR",0.768008474576271,0.224576271186441,0.00529661016949153,0.00211864406779661,9440
"49","total",2016,"GW",0.69419401370357,0.294626758023801,0.00793364587089794,0.00324558240173098,13865
"53","male",2016,"GW",0.653937947494033,0.334924423229913,0.00795544948289578,0.00318217979315831,6285
"57","female",2016,"GW",0.728354263053536,0.261070720423001,0.00793126239259749,0.00264375413086583,7565
"61","total",2016,"HS",0.623720437698553,0.365690081186022,0.00705965407695023,0.00352982703847511,14165
"65","male",2016,"HS",0.56095736724009,0.424831712789828,0.0104712041884817,0.0037397157816006,6685
"69","female",2016,"HS",0.67935871743487,0.313293253173013,0.00400801603206413,0.00334001336005344,7485
"73","total",2016,"KC",0.655495978552279,0.335120643431635,0.0046916890080429,0.0046916890080429,22380
"77","male",2016,"KC",0.59981211836543,0.388445279473931,0.00563644903710662,0.00610615312353217,10645
"81","female",2016,"KC",0.705882352941177,0.286871270247229,0.00383631713554987,0.00341005967604433,11730
"85","total",2016,"KERR",0.68075117370892,0.312206572769953,0.00469483568075117,0.00234741784037559,4260
"89","male",2016,"KERR",0.665893271461717,0.329466357308585,0.00464037122969838,0,2155
"93","female",2016,"KERR",0.695238095238095,0.295238095238095,0.00476190476190476,0.00476190476190476,2100
"97","total",2016,"KIL",0.544166666666667,0.44375,0.00916666666666667,0.00291666666666667,12000
"101","male",2016,"KIL",0.475892857142857,0.50625,0.0133928571428571,0.00446428571428571,5600
"105","female",2016,"KIL",0.60390625,0.3890625,0.00546875,0.0015625,6400
"109","total",2016,"KITS",0.718155893536122,0.269249049429658,0.00641634980988593,0.0061787072243346,21040
"113","male",2016,"KITS",0.678928008407777,0.304256437204414,0.0105097214923805,0.00630583289542827,9515
"117","female",2016,"KITS",0.75,0.240034662045061,0.00346620450606586,0.00649913344887348,11540
"121","total",2016,"MARP",0.601931875953228,0.389425521098119,0.00660904931367565,0.00203355363497712,9835
"125","male",2016,"MARP",0.544605809128631,0.442946058091286,0.00933609958506224,0.00311203319502075,4820
"129","female",2016,"MARP",0.657028913260219,0.337986041874377,0.00299102691924227,0.00199401794616152,5015
"133","total",2016,"MP",0.73244055752938,0.259633779721235,0.00546597430992074,0.00245968843946433,18295
