ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
4018,Total - Private households by tenure - 25% sample data,6120,35100,7545,19515,15035,12725,17890,5525,10665,22955,10905,17985,5020,18865,8835,2880,3160,5850,11595,10170,30815,5345,283915,960895
4019,  Owner,3875,15030,5885,8175,5455,7515,9960,3670,6375,9930,4490,7035,3080,11010,5130,2145,1860,1125,6185,6200,6135,3325,133165,612010
4020,  Renter,2250,20070,1635,11340,9580,5210,7935,1860,4285,13025,6410,10955,1940,7855,3700,730,1300,4725,5410,3970,24685,2015,150750,348700
4021,  Band housing,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
,,,,,,,,,,,,,,,,,,,,,,,,,
4022,Total - Occupied private dwellings by condominium status - 25% sample data,6125,35105,7545,19510,15030,12730,17890,5530,10665,22955,10905,17985,5020,18860,8835,2880,3160,5850,11595,10170,30815,5345,283915,960895
4023,  Condominium,1865,29590,445,11100,3180,1035,2685,940,2965,8360,2270,8600,1265,4605,1040,415,880,1380,475,1165,9780,795,94830,293765
4024,  Not condominium,4260,5510,7100,8415,11855,11690,15210,4590,7700,14595,8630,9385,3760,14260,7795,2465,2280,4475,11120,9005,21035,4545,189085,667130
,,,,,,,,,,,,,,,,,,,,,,,,,
4025,Total - Occupied private dwellings by number of bedrooms - 25% sample data,6125,35105,7550,19510,15035,12725,17890,5530,10660,22950,10905,17985,5020,18865,8835,2875,3155,5850,11595,10170,30815,5340,283915,960895
4026,  No bedrooms,75,2810,10,830,740,285,325,35,145,690,310,1055,75,320,35,15,50,1190,150,125,2630,70,11975,17175
4027,  1 bedroom,1355,17490,555,9575,6715,2060,3225,1225,1445,9935,4375,9835,1040,3900,1845,425,815,2705,2020,1360,21465,1185,104535,208405
4028,  2 bedrooms,1610,12645,945,7620,4235,2905,4855,1030,2695,7660,2480,4900,1185,5350,2340,375,905,1060,2590,2195,5995,970,76475,259450
4029,  3 bedrooms,925,1995,1695,1300,1920,2875,3880,830,3295,2825,1485,1505,870,3325,1890,360,555,560,2220,2025,645,1100,37845,215335
4030,  4 or more bedrooms,2165,155,4330,190,1420,4605,5615,2410,3090,1845,2250,690,1850,5975,2715,1705,835,335,4620,4455,80,2015,53080,260530
,,,,,,,,,,,,,,,,,,,,,,,,,
4031,Total - Occupied private dwellings by number of rooms - 25% sample data,6125,35100,7545,19510,15035,12725,17890,5530,10665,22950,10900,17985,5020,18865,8835,2875,3155,5850,11595,10165,30815,5340,283915,960890
4032,  1 to 4 rooms,2405,27390,1185,14665,10350,4635,7760,1900,3995,14775,6675,13970,2080,9000,3490,650,1495,4665,4625,3590,27365,1830,168460,413395
4033,  5 rooms,710,4820,620,2895,1670,1705,2585,515,1930,3095,1225,1875,550,2420,1220,205,345,505,1450,1305,2365,460,34380,129200
4034,  6 rooms,595,1740,775,1165,1080,1355,1835,475,1400,1925,745,1050,490,1790,915,245,315,240,1160,1215,700,515,21640,100705
4035,  7 rooms,580,785,850,515,640,1270,1725,470,1185,1125,615,410,465,1525,860,190,270,180,1135,915,255,560,16450,83140
4036,  8 or more rooms,1830,365,4115,275,1295,3770,3985,2165,2150,2035,1645,680,1435,4120,2345,1580,730,260,3225,3150,135,1980,42980,234455
,,,,,,,,,,,,,,,,,,,,,,,,,
4037,Average number of rooms per dwelling,6,3.4,7.7,3.7,4.2,5.9,5.4,6.6,5.5,4.3,4.6,3.6,5.9,5.2,5.7,7.9,5.5,3.2,5.6,6,3.1,6.4,4.6,5.6
,,,,,,,,,,,,,,,,,,,,,,,,,
4038,Total - Private households by number of persons per room - 25% sample data,6125,35100,7545,19515,15030,12725,17895,5530,10660,22950,10905,17985,5020,18860,8835,2875,3160,5850,11595,10170,30815,5345,283915,960895
4039,  One person or fewer per room,5965,34280,7480,19230,14800,12355,17005,5400,10230,22670,10475,17535,4855,17855,8685,2850,3120,5650,10660,9645,30015,5290,275495,927685
4040,  More than 1 person per room,160,825,65,285,230,375,880,125,435,280,430,450,165,1010,150,25,35,205,935,525,800,50,8420,33210
,,,,,,,,,,,,,,,,,,,,,,,,,
4041,Total - Private households by housing suitability - 25% sample data,6125,35100,7545,19515,15035,12725,17890,5530,10660,22950,10900,17985,5020,18865,8835,2875,3160,5850,11595,10170,30815,5345,283915,960895
4042,  Suitable,5645,32470,7355,18500,14010,11835,16045,5230,9925,21720,9805,16600,4655,16650,8345,2765,2995,5415,9915,9145,27645,5120,261250,890530
4043,  Not suitable,480,2635,190,1015,1020,895,1845,305,735,1230,1100,1385,370,2210,490,115,160,435,1680,1025,3175,220,22665,70360
,,,,,,,,,,,,,,,,,,,,,,,,,
4044,Total - Occupied private dwellings by period of construction - 25% sample data,6125,35105,7545,19515,15035,12725,17890,5530,10665,22950,10905,17985,5025,18865,8835,2875,3155,5850,11595,10170,30815,5340,283915,960895
4045,  1960 or before,1460,2405,3405,3165,4895,4400,5280,1865,1055,6835,2200,3845,1015,3050,3770,1465,1255,1795,2530,1565,6625,2195,66045,128705
4046,  1961 to 1980,1730,1155,1130,6045,5110,2675,3600,1195,3305,6640,3360,4900,1500,3920,1460,445,410,1455,2855,2395,15010,1175,71145,253840
4047,  1981 to 1990,700,1855,680,4570,2140,1390,2135,675,2125,3170,1955,1635,580,2205,980,250,380,960,1550,1700,4235,520,36320,151755
4048,  1991 to 2000,845,10015,845,2935,1475,1730,2485,825,2215,3535,1240,1580,810,4490,1215,335,475,720,1765,2130,2995,575,45205,171550
4049,  2001 to 2005,675,6965,410,810,390,870,1105,250,695,1055,650,370,340,2115,270,105,100,320,940,810,735,180,20135,71265
4050,  2006 to 2010,360,9020,385,1240,395,775,1505,300,480,875,415,2320,270,1545,405,90,280,230,950,730,560,340,23410,95905
4051,  2011 to 2016,355,3685,690,745,625,895,1760,425,785,830,1075,3330,515,1540,725,180,260,375,1010,840,660,355,21655,87860
,,,,,,,,,,,,,,,,,,,,,,,,,
4052,Total - Occupied private dwellings by dwelling condition - 25% sample data,6125,35100,7545,19515,15030,12730,17895,5530,10660,22955,10905,17985,5020,18865,8835,2875,3155,5850,11595,10170,30820,5340,283915,960895
4053,  Only regular maintenance or minor repairs needed,5750,33830,7095,17870,13440,11865,16775,5310,9895,21400,10140,16370,4655,17775,8255,2655,2950,5250,10945,9645,28535,4950,264885,906230
4054,  Major repairs needed,375,1275,450,1645,1590,865,1115,225,770,1555,765,1615,370,1085,580,220,205,600,645,525,2285,390,19030,54665
,,,,,,,,,,,,,,,,,,,,,,,,,
4055,Total - Private households by number of household maintainers - 25% sample data,6125,35100,7550,19510,15035,12730,17890,5530,10660,22950,10905,17985,5025,18860,8835,2880,3155,5850,11595,10170,30820,5340,283915,960895
