OBJECTID;USE;HBLOCK;LENGTH;LOWADDR;HIGHADDR;comments;POINT_X;POINT_Y
4.0;Residential;1200 W 75TH AV;129.344146;1200.0;1200.0;No sidewalk both sides;490275.642086;5449935.85525
7.0;Residential;500 W 50TH AV;65.754028;500.0;500.0;No sidewalk both sides;491450.402515;5452500.95807
9.0;Residential;700 W 50TH AV;99.335659;700.0;700.0;No sidewalk both sides;491197.6585;5452516.01653
14.0;Residential;6700 TISDALL ST;101.606032;6700.0;6700.0;No sidewalks both sides;491193.234028;5452315.10507
15.0;Residential;700 W 52ND AV;51.466486;700.0;700.0;No sidewalks both sides;491143.037073;5452302.84822
16.0;Residential;700 W 52ND AV;51.466486;700.0;700.0;No sidewalks both sides;491093.043076;5452290.62531
23.0;Residential;2800 W 47TH AV;47.888866;2800.0;2800.0;No sidewalks both sides;487648.304734;5452964.70406
26.0;Residential;1700 W 68TH AV;48.421907;1700.0;1700.0;No sidewalk both sides;489341.823968;5450880.05332
30.0;Residential;8400 WILTSHIRE ST;67.778297;8400.0;8400.0;No sidewalk both sides;489339.033018;5450765.41283
31.0;Residential;8400 WILTSHIRE ST;67.778297;8400.0;8400.0;No sidewalk both sides;489338.965987;5450762.63534
32.0;Residential;8000 EAST BOULEVARD;49.922948;8000.0;8000.0;No sidewalk both sides;489351.627707;5451120.96955
33.0;Residential;8000 EAST BOULEVARD;49.922948;8000.0;8000.0;No sidewalk both sides;489361.895195;5451072.11385
34.0;Collector;6900-7000 MACDONALD ST;221.493112;6900.0;7000.0;No sidewalk both sides;487740.118566;5452297.65414
37.0;Collector;6900-7000 MACDONALD ST;221.493112;6900.0;7000.0;No sidewalk both sides;487744.600335;5452102.82001
38.0;Collector;6900-7000 MACDONALD ST;221.493112;6900.0;7000.0;No sidewalk both sides;487744.741263;5452076.32727
41.0;Residential;3000-3100 W 57TH AV;219.130166;3000.0;3100.0;No sidewalk both sides;487262.618503;5451863.64987
42.0;Residential;3000-3100 W 57TH AV;219.130166;3000.0;3100.0;No sidewalk both sides;487197.631621;5451864.95566
43.0;Residential;3000-3100 W 57TH AV;219.130166;3000.0;3100.0;No sidewalk both sides;487173.506324;5451865.44041
48.0;Residential;2800-2900 W 53RD AV;337.140596;2800.0;2900.0;No sidewalk both sides;487480.165794;5452302.60957
50.0;Residential;2800-2900 W 53RD AV;337.140596;2800.0;2900.0;No sidewalk both sides;487403.039209;5452304.07982
52.0;Residential;7100-7200 CARNARVON ST;221.871787;7100.0;7200.0;No sidewalk both sides;487396.304748;5452017.86614
55.0;Residential;7100-7200 CARNARVON ST;221.871787;7100.0;7200.0;No sidewalk both sides;487392.592269;5451861.03829
59.0;Residential;1000 W 51ST AV;107.270286;1000.0;1000.0;No sidewalks both sides;490533.598037;5452456.83715
60.0;Residential;1000 W 51ST AV;107.270286;1000.0;1000.0;No sidewalks both sides;490491.339386;5452457.8289
61.0;Residential;1000 W 51ST AV;53.791692;1000.0;1000.0;No sidewalks both sides;490652.357021;5452454.04971
63.0;Residential;700 W 48TH AV;49.684677;700.0;700.0;No sidewalks both sides;491086.923104;5452729.80082
65.0;Residential;1400 W 52ND AV;83.134991;1400.0;1400.0;No sidewalk on both sides;489983.498321;5452371.38051
68.0;Residential;800 W 45TH AV;49.698187;800.0;800.0;No sidewalks both sides;490820.337921;5453049.76441
69.0;Residential;800 W 45TH AV;49.698187;800.0;800.0;No sidewalks both sides;490770.71406;5453052.48143
