Year,Date,Civil Twilight Start,Sunrise,Local Noon,Sunset,Civil Twilight End,Day,Sky,Total
2019,1-Jan,7:30,8:08,12:16,16:25,17:02,8.28,1.24,9.53
2019,2-Jan,7:30,8:08,12:17,16:26,17:03,8.3,1.24,9.54
2019,3-Jan,7:30,8:07,12:17,16:27,17:04,8.32,1.24,9.56
2019,4-Jan,7:30,8:07,12:17,16:28,17:05,8.34,1.24,9.58
2019,5-Jan,7:30,8:07,12:18,16:29,17:06,8.36,1.24,9.6
2019,6-Jan,7:30,8:07,12:18,16:30,17:07,8.39,1.23,9.62
2019,7-Jan,7:30,8:07,12:19,16:31,17:08,8.41,1.23,9.64
2019,8-Jan,7:29,8:06,12:19,16:33,17:09,8.44,1.23,9.67
2019,9-Jan,7:29,8:06,12:20,16:34,17:11,8.47,1.22,9.69
2019,10-Jan,7:29,8:05,12:20,16:35,17:12,8.5,1.22,9.72
2019,11-Jan,7:28,8:05,12:20,16:36,17:13,8.53,1.22,9.75
2019,12-Jan,7:28,8:04,12:21,16:38,17:14,8.56,1.21,9.78
2019,13-Jan,7:27,8:04,12:21,16:39,17:16,8.6,1.21,9.81
2019,14-Jan,7:27,8:03,12:22,16:41,17:17,8.63,1.21,9.84
2019,15-Jan,7:26,8:02,12:22,16:42,17:18,8.67,1.2,9.87
2019,16-Jan,7:25,8:01,12:22,16:44,17:20,8.7,1.2,9.9
2019,17-Jan,7:25,8:01,12:23,16:45,17:21,8.74,1.2,9.94
2019,18-Jan,7:24,8:00,12:23,16:46,17:22,8.78,1.19,9.97
2019,19-Jan,7:23,7:59,12:23,16:48,17:24,8.82,1.19,10.01
2019,20-Jan,7:22,7:58,12:24,16:50,17:25,8.86,1.19,10.05
2019,21-Jan,7:22,7:57,12:24,16:51,17:27,8.9,1.18,10.08
2019,22-Jan,7:21,7:56,12:24,16:53,17:28,8.95,1.18,10.12
2019,23-Jan,7:20,7:55,12:24,16:54,17:29,8.99,1.17,10.16
2019,24-Jan,7:19,7:54,12:25,16:56,17:31,9.03,1.17,10.2
2019,25-Jan,7:18,7:53,12:25,16:57,17:32,9.08,1.17,10.25
2019,26-Jan,7:17,7:52,12:25,16:59,17:34,9.13,1.16,10.29
2019,27-Jan,7:16,7:50,12:25,17:01,17:35,9.17,1.16,10.33
2019,28-Jan,7:14,7:49,12:25,17:02,17:37,9.22,1.16,10.38
2019,29-Jan,7:13,7:48,12:26,17:04,17:39,9.27,1.15,10.42
2019,30-Jan,7:12,7:46,12:26,17:06,17:40,9.32,1.15,10.47
2019,31-Jan,7:11,7:45,12:26,17:07,17:42,9.37,1.14,10.51
2019,1-Feb,7:10,7:44,12:26,17:09,17:43,9.42,1.14,10.56
2019,2-Feb,7:08,7:42,12:26,17:11,17:45,9.47,1.14,10.61
2019,3-Feb,7:07,7:41,12:26,17:12,17:46,9.52,1.13,10.66
2019,4-Feb,7:06,7:39,12:26,17:14,17:48,9.58,1.13,10.71
2019,5-Feb,7:04,7:38,12:26,17:16,17:49,9.63,1.13,10.75
2019,6-Feb,7:03,7:36,12:27,17:17,17:51,9.68,1.12,10.8
2019,7-Feb,7:01,7:35,12:27,17:19,17:53,9.74,1.12,10.86
2019,8-Feb,7:00,7:33,12:27,17:21,17:54,9.79,1.12,10.91
2019,9-Feb,6:58,7:32,12:27,17:22,17:56,9.85,1.11,10.96
2019,10-Feb,6:57,7:30,12:27,17:24,17:57,9.9,1.11,11.01
2019,11-Feb,6:55,7:28,12:27,17:26,17:59,9.96,1.11,11.06
2019,12-Feb,6:54,7:27,12:27,17:27,18:01,10.01,1.1,11.12
2019,13-Feb,6:52,7:25,12:27,17:29,18:02,10.07,1.1,11.17
2019,14-Feb,6:50,7:23,12:27,17:31,18:04,10.13,1.1,11.22
2019,15-Feb,6:49,7:21,12:27,17:32,18:05,10.18,1.09,11.28
2019,16-Feb,6:47,7:20,12:27,17:34,18:07,10.24,1.09,11.33
2019,17-Feb,6:45,7:18,12:26,17:36,18:08,10.3,1.09,11.39
2019,18-Feb,6:43,7:16,12:26,17:37,18:10,10.36,1.09,11.44
2019,19-Feb,6:42,7:14,12:26,17:39,18:12,10.42,1.08,11.5
2019,20-Feb,6:40,7:12,12:26,17:41,18:13,10.47,1.08,11.55
2019,21-Feb,6:38,7:10,12:26,17:42,18:15,10.53,1.08,11.61
2019,22-Feb,6:36,7:09,12:26,17:44,18:16,10.59,1.08,11.67
2019,23-Feb,6:34,7:07,12:26,17:46,18:18,10.65,1.07,11.73
2019,24-Feb,6:33,7:05,12:26,17:47,18:20,10.71,1.07,11.78
2019,25-Feb,6:31,7:03,12:25,17:49,18:21,10.77,1.07,11.84
2019,26-Feb,6:29,7:01,12:25,17:51,18:23,10.83,1.07,11.9
2019,27-Feb,6:27,6:59,12:25,17:52,18:24,10.89,1.07,11.96
2019,28-Feb,6:25,6:57,12:25,17:54,18:26,10.95,1.07,12.02
2019,1-Mar,6:23,6:55,12:25,17:55,18:27,11.01,1.06,12.07
