USE;HBLOCK;X_Midpoint;Y_Midpoint;Lat;Long;geopoint
Residential;2200 COLLINGWOOD ST;486775.125;5457066.5;49.2662175206;-123.181780494;49.2662175206,-123.181780494
Residential;2200 COLLINGWOOD ST;486776.34375;5457113.0;49.2666358216;-123.181765278;49.2666358216,-123.181765278
Residential;8300-8500 CARTIER ST;489961.875;5450717.5;49.2091674926;-123.137818668;49.2091674926,-123.137818668
Residential;3900 LAUREL ST;490927.8125;5455306.5;49.2504616896;-123.124660659;49.2504616896,-123.124660659
Residential;3600 LAUREL ST;490937.09375;5455617.0;49.2532548369;-123.124540151;49.2532548369,-123.124540151
Residential;3000 HEATHER ST;491264.625;5456186.5;49.2583823652;-123.120051734;49.2583823652,-123.120051734
Residential;3400 HEATHER ST;491256.375;5455807.5;49.2549730685;-123.120156839;49.2549730685,-123.120156839
Residential;1000-1100 W 45TH AV;490637.40625;5453058.0;49.2302315685;-123.128598585;49.2302315685,-123.128598585
Residential;3400 E 45TH AV;497850.9375;5452941.5;49.229251429;-123.029517557;49.229251429,-123.029517557
Residential;3700 NOOTKA ST;496972.75;5455391.0;49.2512815523;-123.041598037;49.2512815523,-123.041598037
Residential;3400 NOOTKA ST;496973.125;5455624.0;49.2533774402;-123.041594645;49.2533774402,-123.041594645
Residential;700 W 18TH AV;491161.9375;5455836.0;49.2552280746;-123.121455246;49.2552280746,-123.121455246
Residential;3100 DIEPPE DRIVE;497993.53125;5456030.0;49.2570336952;-123.027574485;49.2570336952,-123.027574485
Residential;6200 CROWN ST;485847.09375;5453071.0;49.230256522;-123.194395375;49.230256522,-123.194395375
Residential;700 W 22ND AV;491222.34375;5455431.5;49.251590386;-123.120616262;49.251590386,-123.120616262
Residential;1800 TEMPLETON DRIVE;495636.84375;5457294.5;49.2683958566;-123.059975723;49.2683958566,-123.059975723
Residential;1800 TEMPLETON DRIVE;495636.125;5457244.0;49.2679415943;-123.059985052;49.2679415943,-123.059985052
Residential;2600 TRAFALGAR ST;488014.78125;5456645.0;49.2624516102;-123.164728445;49.2624516102,-123.164728445
Residential;1400 WILLIAM ST;494531.375;5457919.5;49.2740089597;-123.07517997;49.2740089597,-123.07517997
Residential;3300 WELLINGTON AV;497527.3125;5454319.0;49.2416411593;-123.03397107;49.2416411593,-123.03397107
Residential;500 E 13TH AV;493299.78125;5456234.0;49.2588353141;-123.092083077;49.2588353141,-123.092083077
Residential;6300 RALEIGH ST;496528.5;5452642.0;49.2265512804;-123.047678752;49.2265512804,-123.047678752
Residential;600 N SLOCAN ST;496414.40625;5459803.0;49.2909653073;-123.049309885;49.2909653073,-123.049309885
Residential;2000 STAINSBURY AV;495343.21875;5455372.5;49.2511049087;-123.063989519;49.2511049087,-123.063989519
Residential;800-900 E 61ST AV;493674.03125;5451333.5;49.2147581483;-123.086862321;49.2147581483,-123.086862321
Residential;3100 ONTARIO ST;492349.46875;5456068.5;49.2573354617;-123.105140317;49.2573354617,-123.105140317
Residential;3100 ONTARIO ST;492348.03125;5456018.0;49.2568811862;-123.105159107;49.2568811862,-123.105159107
Residential;3600 MOSCROP ST;498208.6875;5454422.5;49.2425745397;-123.024610449;49.2425745397,-123.024610449
Residential;1600 E 61ST AV;494727.1875;5451313.0;49.2145837144;-123.072401102;49.2145837144,-123.072401102
Residential;1600 E 59TH AV;494681.40625;5451504.5;49.2163059133;-123.073032263;49.2163059133,-123.073032263
Residential;8400 ASH ST;491334.4375;5450681.0;49.2088601127;-123.118973298;49.2088601127,-123.118973298
Residential;1300 W 73RD AV;490044.40625;5450214.0;49.2046397221;-123.136673073;49.2046397221,-123.136673073
Residential;400 E 31ST AV;492948.125;5454441.0;49.242702948;-123.096884418;49.242702948,-123.096884418
Residential;600 W 14TH AV;491351.875;5456232.0;49.2587928861;-123.118853628;49.2587928861,-123.118853628
Residential;500 W 21ST AV;491582.65625;5455508.5;49.2522880796;-123.115666735;49.2522880796,-123.115666735
Residential;2700 ST. GEORGE ST;493231.625;5456411.0;49.2604267138;-123.093022759;49.2604267138,-123.093022759
Residential;2100 E 27TH AV;495598.6875;5454887.0;49.2467396196;-123.060473753;49.2467396196,-123.060473753
Residential;4700 DUCHESS ST;496379.65625;5454318.5;49.2416309494;-123.04973816;49.2416309494,-123.04973816
Residential;7700 FREMLIN ST;490731.84375;5451354.0;49.2149051065;-123.127262089;49.2149051065,-123.127262089
Residential;6700 ARLINGTON ST;497842.90625;5452119.0;49.2218527977;-123.029623444;49.2218527977,-123.029623444
Residential;7700 ADERA ST;489552.6875;5451391.5;49.2152234553;-123.143454141;49.2152234553,-123.143454141
Residential;400 E 53RD AV;493040.9375;5452121.5;49.2218395507;-123.095569029;49.2218395507,-123.095569029
Residential;2100 W 10TH AV;488840.09375;5456690.0;49.2628720087;-123.153386401;49.2628720087,-123.153386401
Residential;200 PENTICTON ST;496221.375;5458839.5;49.2822973036;-123.051955385;49.2822973036,-123.051955385
Residential;2600 PARKER ST;496269.90625;5458117.0;49.2757985871;-123.051281351;49.2757985871,-123.051281351
Residential;4700 DUCHESS ST;496400.5;5454351.5;49.2419279151;-123.049452094;49.2419279151,-123.049452094
Residential;1100 E 17TH AV;494124.59375;5455849.5;49.2553851362;-123.080741807;49.2553851362,-123.080741807
Residential;5800 ELM ST;488045.09375;5453378.5;49.2330694104;-123.164214346;49.2330694104,-123.164214346
Residential;5800 ELM ST;488046.34375;5453428.0;49.2335146979;-123.164198652;49.2335146979,-123.164198652
Residential;300 W 59TH AV;491773.875;5451574.0;49.2168989417;-123.112958382;49.2168989417,-123.112958382
Residential;2600 E 17TH AV;496174.9375;5455748.0;49.2544883773;-123.05256434;49.2544883773,-123.05256434
Residential;3300-3400 W 24TH AV;486860.875;5455378.5;49.2510355275;-123.180546441;49.2510355275,-123.180546441
Residential;2100 BRIGADOON AV;495431.28125;5451533.5;49.2165728274;-123.062735693;49.2165728274,-123.062735693
Residential;3800 GLEN DRIVE;494039.84375;5455273.5;49.2502030746;-123.081897897;49.2502030746,-123.081897897
Residential;2700 ADANAC ST;496575.0625;5458301.0;49.277455486;-123.047087638;49.277455486,-123.047087638
Residential;1900 WINDERMERE ST;497347.46875;5457175.0;49.2673307437;-123.036460774;49.2673307437,-123.036460774
Residential;2300 E 37TH AV;495862.03125;5453848.0;49.2373954098;-123.0568447;49.2373954098,-123.0568447
Residential;4200 LILLOOET ST;497153.875;5454898.5;49.2468522736;-123.039105664;49.2468522736,-123.039105664
Residential;4100 WINDERMERE ST;497339.15625;5454989.5;49.247671673;-123.036560511;49.247671673,-123.036560511
Residential;5700-5900 NANAIMO ST;495714.78125;5453151.5;49.2311292087;-123.058860078;49.2311292087,-123.058860078
Residential;2600 MAPLE ST;489043.3125;5456607.5;49.2621335811;-123.15059103;49.2621335811,-123.15059103
Residential;2600 CYPRESS ST;489218.03125;5456603.0;49.2620962078;-123.148189546;49.2620962078,-123.148189546
Residential;3200 MACKENZIE ST;487608.9375;5456084.5;49.2574017301;-123.17028911;49.2574017301,-123.17028911
Residential;3000 W 19TH AV;487365.6875;5455877.0;49.255530256;-123.173625507;49.255530256,-123.173625507
Residential;2800 E 7TH AV;496651.34375;5456790.0;49.2638641769;-123.046026242;49.2638641769,-123.046026242
Arterial;2300 E KENT AV NORTH;495760.5625;5450340.5;49.2058438243;-123.058201547;49.2058438243,-123.058201547
Residential;1600 NANTON AV;489493.375;5454979.0;49.2474928129;-123.144362571;49.2474928129,-123.144362571
Residential;4600-4700 HAGGART ST;488422.21875;5454522.0;49.2433626792;-123.159067153;49.2433626792,-123.159067153
Residential;4200-4500 FLEMING ST;494756.8125;5454987.0;49.2476325079;-123.072042361;49.2476325079,-123.072042361
Residential;4200-4500 FLEMING ST;494749.4375;5454626.5;49.2443896663;-123.072138971;49.2443896663,-123.072138971
Residential;4400 PRINCE EDWARD ST;492949.28125;5454720.0;49.2452126282;-123.096873442;49.2452126282,-123.096873442
Residential;STANLEY PARK DRIVE;489596.65625;5460038.5;49.293005616;-123.143075026;49.293005616,-123.143075026
Residential;0 E 29TH AV;492462.25;5454643.0;49.2445141916;-123.103563555;49.2445141916,-123.103563555
Residential;0 E 29TH AV;492415.1875;5454644.0;49.2445226053;-123.104210179;49.2445226053,-123.104210179
Residential;1900 W 37TH AV;489098.46875;5453948.0;49.2382118484;-123.149760574;49.2382118484,-123.149760574
Residential;4100 W 29TH AV;485499.78125;5454871.0;49.2464397356;-123.199230926;49.2464397356,-123.199230926
Residential;4400 CAMOSUN ST;485682.78125;5455031.0;49.2478832726;-123.196722266;49.2478832726,-123.196722266
Residential;3000-3100 W 39TH AV;487302.65625;5453776.5;49.2366345557;-123.174425134;49.2366345557,-123.174425134
Residential;3100 ADANAC ST;497336.4375;5458299.5;49.2774457848;-123.036619892;49.2774457848,-123.036619892
Residential;3500 ADANAC ST;498034.71875;5458297.5;49.2774304381;-123.027019589;49.2774304381,-123.027019589
Residential;6000 BALACLAVA ST;487198.1875;5453177.5;49.2312442506;-123.175841102;49.2312442506,-123.175841102
Residential;4100 VALLEY DRIVE;488421.0625;5455206.5;49.2495198689;-123.159102821;49.2495198689,-123.159102821
Residential;4200 VALLEY DRIVE;488466.25;5455110.0;49.2486526863;-123.158479137;49.2486526863,-123.158479137
Residential;2300-2500 OLIVER CRESCENT;488238.40625;5455263.0;49.2500246135;-123.161614296;49.2500246135,-123.161614296
Residential;4800 ST. CATHERINES ST;493739.96875;5454303.0;49.2414702179;-123.08600328;49.2414702179,-123.08600328
