ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
100,Total - Marital status for the population aged 15 years and over - 100% data,13280,58030,17875,31040,25970,29980,42260,12095,25140,38725,21820,29880,11470,45225,19140,7255,6865,11515,31040,27280,45255,11170,560955,2101320
101,  Married or living common law,7130,27045,10815,15365,11750,15505,22035,6825,13800,19280,10865,14865,6275,22945,10590,4160,3670,3405,16790,14655,19220,6310,282585,1193125
102,    Married,6615,19075,10035,10475,7355,13100,18540,6245,12535,13075,9435,9040,5830,20300,8620,3790,3090,2505,15450,13560,11205,5505,224800,1033885
103,    Living common law,520,7965,790,4895,4400,2405,3495,580,1265,6205,1425,5825,445,2645,1965,370,580,900,1345,1095,8020,800,57785,159240
104,  Not married and not living common law,6150,30990,7060,15670,14225,14475,20220,5265,11340,19450,10960,15015,5195,22285,8555,3095,3195,8110,14245,12620,26035,4865,278370,908190
105,    Never married,4110,23510,5400,11000,10630,10225,14895,3775,7745,14585,7965,11715,3620,16310,6435,2280,2235,5150,10565,8680,19525,3630,203550,629035
106,    Separated,285,1480,280,695,700,690,995,230,595,755,550,730,220,970,340,105,130,570,680,555,1080,190,12795,50130
107,    Divorced,815,4465,695,2645,1990,1760,2360,705,1595,2920,1495,1845,570,2590,965,280,380,1525,1355,1530,4100,635,37145,128045
108,    Widowed,935,1530,680,1340,900,1800,1980,555,1405,1185,945,725,795,2420,810,430,450,865,1645,1850,1330,410,24880,100985
109,  Total - Marital status for males aged 15 years and over - 100% data,5865,31020,8500,13780,12580,14555,20395,5525,11745,17905,10400,14540,5180,21875,9000,3345,3205,6305,15025,12855,23690,5235,271875,1015395
110,    Married or living common law,3410,14055,5295,7760,5750,7720,10910,3280,6850,9630,5330,7440,3035,11395,5220,2020,1855,1740,8330,7290,10410,3085,141445,594185
111,      Married,3145,9720,4895,5250,3615,6545,9200,2985,6220,6485,4620,4495,2815,10080,4270,1835,1560,1280,7680,6750,5920,2680,111755,513725
112,      Living common law,265,4330,400,2505,2130,1180,1705,295,630,3140,710,2945,225,1320,950,185,295,465,645,540,4495,400,29695,80455
113,    Not married and not living common law,2455,16970,3210,6020,6830,6830,9490,2245,4890,8275,5070,7105,2145,10480,3780,1320,1350,4565,6695,5565,13275,2150,130425,421210
114,      Never married,2015,13770,2780,4715,5515,5520,7775,1850,3940,6820,4125,5900,1775,8655,3175,1125,1070,3210,5615,4490,10770,1805,106195,334130
115,      Separated,80,715,100,265,315,280,405,65,225,315,215,325,75,400,135,25,55,275,270,200,540,65,5330,20265
116,      Divorced,210,2095,195,795,820,715,945,225,475,930,565,735,170,990,335,85,125,925,515,565,1685,190,14245,47275
117,      Widowed,145,380,135,245,185,320,360,105,255,210,160,145,130,430,135,85,105,155,300,315,285,90,4655,19540
118,  Total - Marital status for females aged 15 years and over - 100% data,7415,27010,9375,17255,13390,15430,21865,6570,13400,20825,11420,15335,6285,23350,10140,3915,3655,5210,16015,14420,21565,5940,289080,1085920
119,    Married or living common law,3720,12990,5525,7605,6000,7785,11125,3545,6950,9650,5535,7425,3240,11545,5365,2140,1820,1665,8460,7365,8810,3225,141135,598940
120,      Married,3470,9360,5135,5220,3735,6555,9340,3260,6315,6585,4815,4550,3020,10220,4350,1960,1530,1230,7765,6810,5285,2825,113045,520160
121,      Living common law,255,3630,385,2385,2270,1230,1790,290,635,3065,720,2880,220,1325,1010,180,285,435,700,555,3525,400,28090,78780
122,    Not married and not living common law,3695,14020,3845,9655,7390,7640,10740,3020,6450,11175,5885,7910,3050,11800,4775,1775,1840,3540,7550,7055,12755,2715,147945,486980
123,      Never married,2095,9735,2625,6285,5115,4710,7115,1925,3805,7770,3840,5815,1840,7650,3260,1155,1160,1940,4955,4190,8755,1830,97355,294905
124,      Separated,205,765,180,430,385,415,590,165,370,445,335,405,145,570,205,80,75,290,410,355,545,125,7460,29860
125,      Divorced,605,2370,500,1850,1175,1045,1420,480,1120,1995,930,1110,400,1600,635,195,250,600,845,965,2415,445,22900,80765
126,      Widowed,790,1150,545,1095,720,1475,1620,450,1150,975,785,575,660,1985,670,345,350,710,1345,1540,1045,320,20225,81445
