Location;Installed_DT;Removed_DT;Latitude;Longitude;Note;On_bikeway;X;Y;geopoint
Heather St & W 13th Av;1996;;49.2595335;-123.120011;;Yes;491268.0;5456314.0;49.2595335,-123.120011
Heather St & W 64th Av;2007-03-08 00:00:00;;49.2128724;-123.124043;;Yes;490966.0;5451128.0;49.2128724,-123.124043
Heather St & W 68th Av;2007-03-08 00:00:00;;49.21027393;-123.124134;;Yes;490959.0;5450839.0;49.21027393,-123.124134
Garden Dr & Charles St;1985-03-13 00:00:00;;49.27295076;-123.057951;;No;495784.0;5457801.0;49.27295076,-123.057951
Dumfries St & E 47th Av;2013-01-09 00:00:00;;49.22716666;-123.074456;;Yes;494579.0;5452712.0;49.22716666,-123.074456
Inverness St & E 43rd Av;2003;;49.23085119;-123.079865;;Yes;494186.0;5453122.0;49.23085119,-123.079865
Woodland Dr & Grant St;1998;;49.27144192;-123.073457;;Yes;494656.0;5457634.0;49.27144192,-123.073457
Woodland Dr & Graveley St;1998;;49.27053698;-123.073474;;Yes;494655.0;5457533.0;49.27053698,-123.073474
Nootka St & Venables St;1995;;49.27641488;-123.041364;;No;496991.0;5458185.0;49.27641488,-123.041364
N Slocan St & Trinity St;1997;;49.28970948;-123.049311;;No;496414.0;5459663.0;49.28970948,-123.049311
N Kaslo St & Wall St;1997;;49.29163795;-123.046675;;Yes;496606.0;5459878.0;49.29163795,-123.046675
Inverness St & E 59th Av;2011-04-20 00:00:00;;49.2164082;-123.080091;;Yes;494167.0;5451516.0;49.2164082,-123.080091
Heather St & W 30th Av;2000-05-03 00:00:00;;49.24434988;-123.120536;;Yes;491227.0;5454627.0;49.24434988,-123.120536
Yew St & W 13th Av;1996;;49.26010066;-123.155438;;No;488690.0;5456382.0;49.26010066,-123.155438
Yew St & W 15th Av;1996;;49.25825965;-123.155506;;No;488685.0;5456178.0;49.25825965,-123.155506
Yukon St & W 14th Av;2011-09-20 00:00:00;;49.25870152;-123.113067;;Yes;491773.0;5456221.0;49.25870152,-123.113067
Arlington St & E 47th Av;1999-2002;;49.22639531;-123.027858;date ranges from ortho photos;No;497972.0;5452624.0;49.22639531,-123.027858
Woodland Dr & E 13th Av;1998;;49.25868729;-123.073703;;Yes;494637.0;5456216.0;49.25868729,-123.073703
Lakewood Dr & Grant St;1997;;49.27123316;-123.061854;;Yes;495500.0;5457610.0;49.27123316,-123.061854
Willow St & W 37th Av;1997;;49.23751283;-123.123735;;Yes;490993.0;5453867.0;49.23751283,-123.123735
