Date;Time;Location;Location Type;Pedestrian;Bike;Motorcycle;Veh;Age;Gender ;Lat;Long;geopoint
2006-01-02 00:00:00;;8500 Block Fraser St;;;;;1;30-39;M;;;
2006-01-07 00:00:00;;Nanaimo St/Parker St;;1;;;0;80-89;M;49.2758068828;-123.056574933;49.2758068828,-123.056574933
2006-06-19 00:00:00;;Knight St/E 62nd Av;;1;;;0;30-39;M;49.213761768;-123.077088408;49.213761768,-123.077088408
2006-07-09 00:00:00;;E Hastings St/Carrall St;;;;;1;30-39;M;;;
2006-12-05 00:00:00;;E Broadway/Clark Dr;;1;;;0;40-49;M;49.2623811505;-123.077500642;49.2623811505,-123.077500642
2007-01-17 00:00:00;;W 60th Av/West Boulevard;;1;;;0;40-49;F;49.2171310497;-123.149134674;49.2171310497,-123.149134674
2007-01-31 00:00:00;;Elliott St/Waverley Av;;1;;;0;30-39;F;49.2267694725;-123.054693925;49.2267694725,-123.054693925
2007-07-06 00:00:00;;1700 Block E 49th Av;;;;1;0;20-29;M;49.2252223881;-123.070384116;49.2252223881,-123.070384116
2007-07-12 00:00:00;;Granville St/Balfour St;;;;;1;20-29;M;49.2519226943;-123.138991845;49.2519226943,-123.138991845
2007-08-01 00:00:00;;4500 Block Nanaimo St;;1;;;0;80-89;F;49.244019437;-123.056654019;49.244019437,-123.056654019
2007-08-17 00:00:00;;Stanley Park Causeway;;;;;1;70-79;F;;;
2007-09-15 00:00:00;;1900 Block Granville St Bridge;;;;1;0;20-29;M;49.2715617586;-123.134560002;49.2715617586,-123.134560002
2007-11-15 00:00:00;;Renfrew St/Charles St;;1;;;0;70-79;M;49.2732626288;-123.04415443;49.2732626288,-123.04415443
2007-11-26 00:00:00;;Venables St/Raymur Av;;;;;1;50-59;M;49.2768308005;-123.082600827;49.2768308005,-123.082600827
2008-01-09 00:00:00;;Main St/E Hastings St;;1;;;0;80-89;F;49.2813356086;-123.099648811;49.2813356086,-123.099648811
2008-01-16 00:00:00;;2900 Block Main St;;1;;;0;40-49;M;49.2588456473;-123.101133051;49.2588456473,-123.101133051
2008-03-29 00:00:00;;7500 Block Oak St;;;;;1;20-29;M;49.215811174;-123.129844644;49.215811174,-123.129844644
2008-06-28 00:00:00;;2600 Blk E Broadway;;;;1;0;20-29;M;49.2620134013;-123.050891402;49.2620134013,-123.050891402
2008-07-11 00:00:00;;Victoria Dr/E Hastings St;;;;1;0;60-69;M;49.2811768549;-123.065574171;49.2811768549,-123.065574171
2008-09-21 00:00:00;;Commercial Dr/Grandview Hwy N.;;1;;;0;60-69;M;49.263717883;-123.069736101;49.263717883,-123.069736101
2008-11-20 00:00:00;;2900 W Broadway;;1;;;0;70-79;M;49.264121239;-123.17107625;49.264121239,-123.17107625
2008-12-07 00:00:00;;Main St/E 6th Av;;1;;;0;50-59;M;49.2655061608;-123.100851039;49.2655061608,-123.100851039
2010-04-29 00:00:00;;Powell St/Hawks Ave;;;;;1;90-99;M;49.2829576903;-123.087080497;49.2829576903,-123.087080497
2010-07-21 00:00:00;;E 8th Ave/Quebec St;;;1;;0;20-29;M;49.2637339191;-123.102929193;49.2637339191,-123.102929193
2010-08-24 00:00:00;;2150 Hemlock St;;;;1;0;40-49;M;49.2666418874;-123.135980909;49.2666418874,-123.135980909
2010-11-03 00:00:00;;1150 Station St;;1;;;0;80-89;F;49.2735596024;-123.098609929;49.2735596024,-123.098609929
2011-01-16 00:00:00;02:50:00;2500 Blk MacDonald St;Close to intersection;1;;;0;30-39;F;49.2632032057;-123.168204831;49.2632032057,-123.168204831
2011-02-04 00:00:00;15:19:00;Main St/Keefer St;Intersection;1;;;0;70-79;M;49.2794814168;-123.099729343;49.2794814168,-123.099729343
2011-03-14 00:00:00;06:50:00;3100 Blk Grandview Hwy;Mid-Block;1;;;0;70-79;F;49.2581406777;-123.037769245;49.2581406777,-123.037769245
2011-03-31 00:00:00;17:25:00;SW Marine Dr/Kullahun Dr;Intersection;;;1;0;20-29;M;;;
2011-04-06 00:00:00;14:27:00;E 22nd Ave/Boyd Dvrs;Intersection;1;;;0;70-79;F;;;
2011-07-16 00:00:00;23:56:00;200 block E Cordova St;Mid-Block;1;;;0;60-69;M;49.282266339;-123.098606671;49.282266339,-123.098606671
2012-02-10 00:00:00;03:00:00;3000 block E Hastings St;Mid-block;1;;;0;30-39;F;;;
2012-03-06 00:00:00;02:57:00;Robson and Howe;Intersection;1;;;0;70-79;F;49.281996202;-123.120803418;49.281996202,-123.120803418
2012-04-15 00:00:00;10:30:00;W 4th Ave / Larch St;Mid-Block;1;;;0;80-89;M;49.2682809593;-123.162244512;49.2682809593,-123.162244512
2012-07-21 00:00:00;17:46:00;0 block E Waterfront Rd;Mid-Block;;;1;0;40-49;M;49.2847318005;-123.09961702;49.2847318005,-123.09961702
2012-09-18 00:00:00;11:10:00;1119 Hornby St;Mid-block;;;;1;80-89;M;49.2789466809;-123.127364953;49.2789466809,-123.127364953
2012-10-27 00:00:00;20:32:00;Powell and Dunlevy;Intersection;1;;;0;50-59;F;49.283104385;-123.095297078;49.283104385,-123.095297078
2012-11-09 00:00:00;08:00:00;W 2nd Ave / Burrard St;Intersection;;;1;0;30-39;M;49.2697795817;-123.145546825;49.2697795817,-123.145546825
2012-12-02 00:00:00;22:00:00;E 43th Ave and Prince Edward;Intersection;1;;;0;40-49;F;49.2310991832;-123.097294379;49.2310991832,-123.097294379
2013-01-26 00:00:00;12:30:00;Cambie St / McGuigan Ave;Intersection;;;;1;20-29;F;49.2404308277;-123.118260782;49.2404308277,-123.118260782
2013-05-20 00:00:00;17:50:00;2301 Lions Gate Brdg Southbound South End;Mid-Span;;;1;0;20-29;M;49.3155527601;-123.138343002;49.3155527601,-123.138343002
2013-05-25 00:00:00;19:00:00;0 Stanley Park Cswy;Mid-block;;1;;0;60-69;F;;;
2013-05-28 00:00:00;20:30:00;E 1st Avenue and Nootka;Intersection;;;1;0;20-29;M;49.2694824541;-123.041482524;49.2694824541,-123.041482524
2013-06-15 00:00:00;09:00:00;8000 block Ross St;Close to intersection;;;;1;70-79;F;49.2128673939;-123.083170007;49.2128673939,-123.083170007
2013-06-30 00:00:00;18:30:00;100 E Hastings St;Mid-Block;1;;;0;50-59;F;49.2813601627;-123.100951943;49.2813601627,-123.100951943
2013-07-15 00:00:00;12:00:00;Powell and Victoria Dr;Intersection;1;;;0;60-69;F;;;
2013-07-29 00:00:00;14:00:00;1100 Block of West 12th;Mid-Block;;1;;0;40-49;F;49.2606372985;-123.130277542;49.2606372985,-123.130277542
2013-08-09 00:00:00;14:00:00;SW Marine Drive at Argyle Street;Intersection;;;1;0;10-19;F;;;
2014-01-16 00:00:00;07:00:00;SE Marine and Kerr;Intersection;;;;1;80-89;M;49.2081070916;-123.042256348;49.2081070916,-123.042256348
2014-03-08 00:00:00;08:00:00;West Hastings and Richards;Intersection;1;;;0;50-59;F;49.284037596;-123.111904178;49.284037596,-123.111904178
2014-05-26 00:00:00;21:00:00;W Pender and Hornby Street;Intersection;;;;1;80-89;F;49.2859282137;-123.116809099;49.2859282137,-123.116809099
2014-10-02 00:00:00;20:30:00;6500 block Main St;Close to intersection;;;;1;70-79;F;49.2256631115;-123.101632015;49.2256631115,-123.101632015
2014-10-17 00:00:00;08:00:00;1200 block Renfrew St;Mid-Block;1;;;0;70-79;F;49.2737374943;-123.044146315;49.2737374943,-123.044146315
2014-12-10 00:00:00;20:00:00;Main and Cordova;Intersection;1;;;0;70-79;F;49.2822848882;-123.099606477;49.2822848882,-123.099606477
2015-01-03 00:00:00;17:23:00;6300 block Elliott St;Intersection;1;;;0;80-89;M;49.226355895;-123.054705149;49.226355895,-123.054705149
2015-03-19 00:00:00;11:00:00;100 block N Nanaimo St;Intersection;;;1;0;30-39;M;;;
2015-07-04 00:00:00;09:00:00;Kingsway off Broadway;Intersection;1;;;0;60-69;F;49.2628592128;-123.099514003;49.2628592128,-123.099514003
2015-08-11 00:00:00;00:51:00;5300 block Boundary Rd;Intersection;1;;;0;40-49;M;49.2349142573;-123.023642277;49.2349142573,-123.023642277
2015-08-19 00:00:00;20:45:00;1100 block SE Marine Dr;Intersection;1;;;0;50-59;M;49.211118507;-123.084059733;49.211118507,-123.084059733
2015-09-21 00:00:00;22:00:00;Oak and W 53rd;Intersection;1;;;0;70-79;F;49.2228096395;-123.128451152;49.2228096395,-123.128451152
2015-10-28 00:00:00;07:00:00;100 block E Hastings St;Close to Intersection;1;;;0;60-69;M;49.2813601627;-123.100951943;49.2813601627,-123.100951943
2015-11-05 00:00:00;20:00:00;Victoria and SE Marine Dr;Intersection;1;;;0;10-19;F;49.209689525;-123.066111263;49.209689525,-123.066111263
2015-11-14 00:00:00;13:06:00;Oak St & W 41st Ave;Intersection;;;;1;60-69;M;49.2339515986;-123.128074266;49.2339515986,-123.128074266
2016-01-09 00:00:00;21:24:00;Burrard St at W Hastings St;Intersection;;;;1;20-29;F;49.2871227534;-123.117023483;49.2871227534,-123.117023483
2016-02-09 00:00:00;09:14:00;E 49th Av at Fraser St;Intersection;1;;;0;80-89;M;49.2254717756;-123.090773888;49.2254717756,-123.090773888
2016-04-13 00:00:00;08:50:00;Main & Hastings;Intersection;1;;;0;80-89;F;49.2813356086;-123.099648811;49.2813356086,-123.099648811
2016-04-17 00:00:00;02:32:00;6900 Heather St;mid block;;;;0;30-39;M;49.2214742613;-123.123748871;49.2214742613,-123.123748871
2016-05-17 00:00:00;13:50:00;8501 Stanley Park Dr;Close to intersection;;1;;0;70-79;M;;;
2016-07-28 00:00:00;12:31:00;1600 Block Duranleau St;Driveway;1;;;0;20-29;F;;;
